,document_file_id,link,file,extension
38,83329,https://declarator.org/document/70338/file/83329,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FKU).xlsx""",xlsx
39,83331,https://declarator.org/document/70338/file/83331,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGUP).xlsx""",xlsx
40,83328,https://declarator.org/document/70338/file/83328,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FKU).xlsx""",xlsx
41,83330,https://declarator.org/document/70338/file/83330,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGUP).xlsx""",xlsx
42,83332,https://declarator.org/document/70338/file/83332,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
43,83333,https://declarator.org/document/70338/file/83333,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
44,83334,https://declarator.org/document/70338/file/83334,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
45,83335,https://declarator.org/document/70338/file/83335,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
46,83336,https://declarator.org/document/70338/file/83336,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).docx""",docx
47,83337,https://declarator.org/document/70338/file/83337,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
48,83338,https://declarator.org/document/70338/file/83338,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGUP_GRChTs).docx""",docx
49,83340,https://declarator.org/document/70338/file/83340,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGUP_NTTs).docx""",docx
50,83339,https://declarator.org/document/70338/file/83339,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGUP_GRChTs).docx""",docx
51,83341,https://declarator.org/document/70338/file/83341,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(FGUP_NTTs).docx""",docx
52,83342,https://declarator.org/document/70338/file/83342,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
53,83343,https://declarator.org/document/70338/file/83343,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
54,83344,https://declarator.org/document/70338/file/83344,"attachment; filename=""2016_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
55,83345,https://declarator.org/document/70338/file/83345,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
56,83346,https://declarator.org/document/70338/file/83346,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
57,83347,https://declarator.org/document/70338/file/83347,"attachment; filename=""2016_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
58,83348,https://declarator.org/document/70338/file/83348,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
59,83349,https://declarator.org/document/70338/file/83349,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).docx""",docx
60,83350,https://declarator.org/document/70338/file/83350,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).docx""",docx
61,83351,https://declarator.org/document/70338/file/83351,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
62,83352,https://declarator.org/document/70338/file/83352,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xls""",xls
63,83353,https://declarator.org/document/70338/file/83353,"attachment; filename=""2019_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.zip""",zip
64,83354,https://declarator.org/document/70338/file/83354,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
